Iteration 3240, progress: 0%, best action: KKKKR, dices: 1,1,1,1,6
Iteration 1944, progress: 0.01286008230452675%, best action: KKKKR, dices: 1,1,1,1,4
Iteration 0, progress: 0.0257201646090535%, best action: KKKKK, dices: 1,1,1,1,1
Iteration 1296, progress: 0.038580246913580245%, best action: KKKKR, dices: 1,1,1,1,3
Iteration 1945, progress: 0.051440329218107%, best action: KKKRR, dices: 1,1,1,2,4
Iteration 3241, progress: 0.06430041152263374%, best action: KKKRR, dices: 1,1,1,2,3
Iteration 7128, progress: 0.07716049382716049%, best action: KKKRR, dices: 1,1,1,3,6
Iteration 6480, progress: 0.09002057613168725%, best action: KKKRR, dices: 1,1,1,3,4
Iteration 1297, progress: 0.102880658436214%, best action: KKKRR, dices: 1,1,1,3,2
Iteration 7129, progress: 0.11574074074074073%, best action: KKKRK, dices: 1,1,1,4,1
Iteration 7130, progress: 0.1286008230452675%, best action: KKKRK, dices: 1,1,1,4,4
Iteration 6481, progress: 0.14146090534979425%, best action: KKKRR, dices: 1,1,1,4,2
Iteration 1298, progress: 0.15432098765432098%, best action: KKKRR, dices: 1,1,1,4,3
Iteration 1, progress: 0.16718106995884774%, best action: KKKRK, dices: 1,1,1,3,1
Iteration 7131, progress: 0.1800411522633745%, best action: KKKRK, dices: 1,1,1,5,1
Iteration 2, progress: 0.19290123456790123%, best action: KKKRR, dices: 1,1,1,4,6
Iteration 1299, progress: 0.205761316872428%, best action: KKKRR, dices: 1,1,1,5,2
Iteration 3, progress: 0.21862139917695472%, best action: KKKRR, dices: 1,1,1,5,4
Iteration 1300, progress: 0.23148148148148145%, best action: KKKRR, dices: 1,1,1,5,5
Iteration 3242, progress: 0.24434156378600824%, best action: KKKRR, dices: 1,1,1,3,5
Iteration 2592, progress: 0.257201646090535%, best action: KKKKK, dices: 1,1,1,1,5
Iteration 2593, progress: 0.2700617283950617%, best action: KKKRR, dices: 1,1,1,6,3
Iteration 2594, progress: 0.2829218106995885%, best action: KKKRR, dices: 1,1,1,6,4
Iteration 5832, progress: 0.2957818930041152%, best action: KKKRR, dices: 1,1,1,2,6
Iteration 2595, progress: 0.30864197530864196%, best action: KKKRR, dices: 1,1,1,6,5
Iteration 2596, progress: 0.32150205761316875%, best action: KKKKK, dices: 1,1,1,6,6
Iteration 2597, progress: 0.3343621399176955%, best action: KKRKK, dices: 1,1,2,1,1
Iteration 5184, progress: 0.3472222222222222%, best action: KKKRR, dices: 1,1,1,2,5
Iteration 5185, progress: 0.360082304526749%, best action: KKRKR, dices: 1,1,2,1,4
Iteration 5833, progress: 0.37294238683127573%, best action: KKRKR, dices: 1,1,2,1,3
Iteration 3888, progress: 0.38580246913580246%, best action: KKKKK, dices: 1,1,1,2,1
Iteration 4536, progress: 0.38580246913580246%, best action: KKKKR, dices: 1,1,1,2,2
Iteration 648, progress: 0.39866255144032925%, best action: RKKKR, dices: 1,1,1,1,2
Iteration 649, progress: 0.4243827160493827%, best action: KKKKK, dices: 1,1,2,2,2
Iteration 4537, progress: 0.43724279835390945%, best action: KKKKR, dices: 1,1,2,2,3
Iteration 4538, progress: 0.45010288065843623%, best action: KKKKR, dices: 1,1,2,2,5
Iteration 5834, progress: 0.4629629629629629%, best action: KKRKR, dices: 1,1,2,1,6
Iteration 650, progress: 0.4758230452674897%, best action: KKRRR, dices: 1,1,2,2,4
Iteration 3889, progress: 0.4886831275720165%, best action: KKRRK, dices: 1,1,2,2,1
Iteration 1946, progress: 0.5015432098765432%, best action: RRRKK, dices: 1,1,1,3,3
Iteration 5835, progress: 0.51440329218107%, best action: KKKRK, dices: 1,1,2,3,2
Iteration 651, progress: 0.5272633744855968%, best action: KKRRR, dices: 1,1,2,3,4
Iteration 5836, progress: 0.5401234567901234%, best action: KRRKK, dices: 1,1,2,3,3
Iteration 4539, progress: 0.5529835390946503%, best action: KKKKK, dices: 1,1,2,3,1
Iteration 4540, progress: 0.565843621399177%, best action: KKKRK, dices: 1,1,2,4,2
Iteration 1947, progress: 0.5787037037037037%, best action: KKRKR, dices: 1,1,2,3,5
Iteration 1948, progress: 0.5915637860082305%, best action: KKRKK, dices: 1,1,2,4,4
Iteration 5837, progress: 0.6044238683127572%, best action: KKRRK, dices: 1,1,2,4,1
Iteration 4, progress: 0.6172839506172839%, best action: KKKRK, dices: 1,1,1,5,6
Iteration 6482, progress: 0.6301440329218106%, best action: KKKKR, dices: 1,1,1,4,5
Iteration 5, progress: 0.6430041152263375%, best action: KKRRK, dices: 1,1,2,5,1
Iteration 6483, progress: 0.6558641975308641%, best action: KKKRK, dices: 1,1,2,5,2
Iteration 7132, progress: 0.668724279835391%, best action: KKKRK, dices: 1,1,1,5,3
Iteration 7133, progress: 0.6815843621399177%, best action: KKRKK, dices: 1,1,2,5,5
Iteration 1301, progress: 0.6944444444444444%, best action: KKKKK, dices: 1,1,1,6,1
Iteration 7134, progress: 0.7073045267489712%, best action: KKRRR, dices: 1,1,2,5,6
Iteration 1302, progress: 0.720164609053498%, best action: KKKRK, dices: 1,1,2,6,1
Iteration 2598, progress: 0.7330246913580246%, best action: RKRKK, dices: 1,1,2,1,2
Iteration 1303, progress: 0.7458847736625515%, best action: KRRRR, dices: 1,1,2,6,3
Iteration 1304, progress: 0.7587448559670782%, best action: KKRRR, dices: 1,1,2,6,5
Iteration 1305, progress: 0.7716049382716049%, best action: KKRRR, dices: 1,1,2,6,6
Iteration 5186, progress: 0.7844650205761318%, best action: KKRKR, dices: 1,1,2,1,5
Iteration 3243, progress: 0.7973251028806585%, best action: RRRKK, dices: 1,1,1,6,2
Iteration 3244, progress: 0.8101851851851851%, best action: KKRKR, dices: 1,1,3,1,2
Iteration 3245, progress: 0.823045267489712%, best action: KKRKK, dices: 1,1,3,1,3
Iteration 5187, progress: 0.8359053497942387%, best action: KKRKR, dices: 1,1,3,1,4
Iteration 5188, progress: 0.8487654320987654%, best action: KKRKR, dices: 1,1,3,1,6
Iteration 1949, progress: 0.8616255144032923%, best action: RRKRK, dices: 1,1,2,4,5
Iteration 3890, progress: 0.8744855967078189%, best action: KRRRR, dices: 1,1,2,2,6
Iteration 652, progress: 0.8873456790123456%, best action: RKKRK, dices: 1,1,2,3,6
Iteration 6484, progress: 0.9002057613168725%, best action: KKRRR, dices: 1,1,2,5,4
Iteration 5838, progress: 0.9130658436213992%, best action: KKRRR, dices: 1,1,2,4,6
Iteration 4541, progress: 0.9259259259259258%, best action: KRKRR, dices: 1,1,2,4,3
Iteration 5839, progress: 0.9387860082304528%, best action: KKRRR, dices: 1,1,3,2,6
Iteration 6, progress: 0.9516460905349794%, best action: KKKKR, dices: 1,1,2,5,3
Iteration 2599, progress: 0.9645061728395061%, best action: RRRRK, dices: 1,1,2,6,4
Iteration 7, progress: 0.977366255144033%, best action: RRKKK, dices: 1,1,3,3,3
Iteration 2600, progress: 0.9902263374485597%, best action: KKRRR, dices: 1,1,3,3,4
Iteration 8, progress: 1.0030864197530864%, best action: KKKRR, dices: 1,1,3,3,5
Iteration 9, progress: 1.0159465020576133%, best action: KKRRK, dices: 1,1,3,4,1
Iteration 2601, progress: 1.02880658436214%, best action: RRKKR, dices: 1,1,3,3,6
Iteration 3246, progress: 1.0416666666666665%, best action: KKRKR, dices: 1,1,3,1,5
Iteration 5189, progress: 1.0545267489711936%, best action: KKRRK, dices: 1,1,3,2,1
Iteration 3247, progress: 1.0673868312757202%, best action: KKRKK, dices: 1,1,3,4,4
Iteration 2602, progress: 1.0802469135802468%, best action: RRKRK, dices: 1,1,3,4,3
Iteration 7135, progress: 1.0931069958847737%, best action: RRKRK, dices: 1,1,2,6,2
Iteration 3248, progress: 1.1059670781893005%, best action: KKRRR, dices: 1,1,3,4,6
Iteration 1306, progress: 1.1188271604938271%, best action: KKKKK, dices: 1,1,3,1,1
Iteration 3891, progress: 1.131687242798354%, best action: KKKKK, dices: 1,1,3,2,3
Iteration 1950, progress: 1.1445473251028806%, best action: RRKRK, dices: 1,1,3,2,2
Iteration 1951, progress: 1.1574074074074074%, best action: RRRRK, dices: 1,1,3,5,6
Iteration 1952, progress: 1.1702674897119343%, best action: KKRRK, dices: 1,1,3,6,1
Iteration 653, progress: 1.183127572016461%, best action: KRRKR, dices: 1,1,3,2,4
Iteration 6485, progress: 1.1959876543209875%, best action: KKRRR, dices: 1,1,3,2,5
Iteration 6486, progress: 1.2088477366255144%, best action: KKRRR, dices: 1,1,3,6,4
Iteration 5840, progress: 1.2217078189300412%, best action: KRRKR, dices: 1,1,3,3,2
Iteration 1953, progress: 1.2345679012345678%, best action: KKRRR, dices: 1,1,3,6,2
Iteration 1954, progress: 1.2474279835390947%, best action: KKRKK, dices: 1,1,3,6,6
Iteration 654, progress: 1.2602880658436213%, best action: KKKRK, dices: 1,1,3,6,3
Iteration 4542, progress: 1.2731481481481481%, best action: KKRRK, dices: 1,1,3,3,1
Iteration 1307, progress: 1.286008230452675%, best action: RRRKR, dices: 1,1,3,5,4
Iteration 6487, progress: 1.2988683127572016%, best action: KKRKR, dices: 1,1,4,1,2
Iteration 1308, progress: 1.3117283950617282%, best action: KKRKR, dices: 1,1,4,1,5
Iteration 6488, progress: 1.3245884773662553%, best action: KKRKR, dices: 1,1,4,1,6
Iteration 1309, progress: 1.337448559670782%, best action: KKRRK, dices: 1,1,4,2,1
